日期,中央通訊社,自由時報,中國時報,蘋果日報,聯合報,ETtoday新聞雲 
2020/2/8,1,1,2,1,,1
2020/2/9,,,2,,1,
2020/2/10,,,,,1,
2020/2/11,,1,1,,,1
2020/2/12,,,1,,,
2020/2/13,,,1,1,,1
2020/2/14,1,1,2,,1,
2020/2/15,,,1,,,
2020/2/16,,,,,1,
2020/2/17,,,,,1,
2020/2/18,,,,,2,
2020/2/19,,,1,1,2,2
2020/2/20,1,1,,2,1,1
2020/2/21,,5,7,12,,7
2020/2/22,3,9,27,23,5,21
2020/2/23,10,46,36,33,8,39
2020/2/24,7,12,28,24,9,22
2020/2/25,,7,7,1,8,2
2020/2/26,,1,,3,,
